location,year,val,upper,lower
Canada,1980,1.005668704,1.08358139,0.9311318944
China,1980,2.131040353,2.610096849,1.783663564
Netherlands,1980,0.4026937387,0.456233533,0.3475119797
United States of America,1980,1.363601397,1.440405878,1.281746921
Canada,1981,0.9915681106,1.065352917,0.9191667292
China,1981,2.18950367,2.683859624,1.800865286
Netherlands,1981,0.4035647281,0.4545019521,0.351721194
United States of America,1981,1.412571636,1.490061469,1.325836207
Canada,1982,0.9999770289,1.079336199,0.9305635544
China,1982,2.184048473,2.625440542,1.800520379
Netherlands,1982,0.3939362429,0.4373402673,0.3478560563
United States of America,1982,1.469963729,1.552270733,1.384191268
Canada,1983,1.008872001,1.082538926,0.9393170722
China,1983,2.208699129,2.605312005,1.851899047
Netherlands,1983,0.3834122338,0.4225353115,0.3414746428
United States of America,1983,1.538735138,1.623731196,1.452949289
Canada,1984,1.013472008,1.090262264,0.9394043678
China,1984,2.244392573,2.64664016,1.929590892
Netherlands,1984,0.3738993427,0.4157518822,0.3323672279
United States of America,1984,1.679622039,1.776065666,1.591004952
Canada,1985,1.021525075,1.101893352,0.9458693907
China,1985,2.291987018,2.671608285,1.97099779
Netherlands,1985,0.3659091461,0.404751218,0.3263120513
United States of America,1985,1.872581578,1.983233436,1.773913062
Canada,1986,1.052136599,1.133701243,0.9710187231
China,1986,2.345456134,2.704519305,2.039975104
Netherlands,1986,0.3642346644,0.4040882808,0.3278407361
United States of America,1986,2.072599879,2.195927603,1.965595016
Canada,1987,1.112564817,1.203015682,1.032342411
China,1987,2.42204117,2.848829232,2.05928531
Netherlands,1987,0.3609242732,0.4005028681,0.3255198019
United States of America,1987,2.140442044,2.259389878,2.037830056
Canada,1988,1.208126855,1.311069606,1.114547205
China,1988,2.506149349,2.935815317,2.164265548
Netherlands,1988,0.3869338353,0.4308546223,0.3472818568
United States of America,1988,2.231083,2.352952684,2.1199686
Canada,1989,1.348067071,1.463225029,1.237178731
China,1989,2.597860332,2.969131841,2.240198967
Netherlands,1989,0.4313746927,0.4776969453,0.3867403898
United States of America,1989,2.252109074,2.381095396,2.134671796
Canada,1990,1.502930956,1.63023989,1.378907149
China,1990,2.663455666,3.058413632,2.323065534
Netherlands,1990,0.4834188316,0.5373772919,0.4344488395
United States of America,1990,2.248713195,2.383337192,2.118288272
Canada,1991,1.694306227,1.831118791,1.556522539
China,1991,2.802695166,3.196871492,2.449093435
Netherlands,1991,0.5428811779,0.5997896962,0.4886354681
United States of America,1991,2.357017358,2.484619305,2.221322361
Canada,1992,1.883768038,2.028466469,1.734784951
China,1992,2.876321275,3.239721335,2.549111415
Netherlands,1992,0.5770362694,0.6341543059,0.5223397869
United States of America,1992,2.543824454,2.690819452,2.402446965
Canada,1993,2.082769904,2.244615019,1.922588183
China,1993,2.896949989,3.30352111,2.574185239
Netherlands,1993,0.6042204651,0.6653689302,0.545706907
United States of America,1993,2.824044653,2.986588342,2.668897423
Canada,1994,2.169903214,2.338979134,2.001435973
China,1994,2.916820081,3.260222471,2.612599834
Netherlands,1994,0.6158995834,0.6801074283,0.5567487003
United States of America,1994,3.063343317,3.227563889,2.904335434
Canada,1995,2.209873108,2.376144646,2.039370717
China,1995,2.904110183,3.191091173,2.613651713
Netherlands,1995,0.6434068433,0.707156314,0.5831473708
United States of America,1995,3.306291334,3.477737501,3.148558456
Canada,1996,2.269416258,2.441621832,2.102991858
China,1996,2.862134184,3.1443319,2.59329108
Netherlands,1996,0.69777565,0.7706417383,0.6328694685
United States of America,1996,3.482181488,3.65147699,3.327831354
Canada,1997,2.376771597,2.558475305,2.19518683
China,1997,2.743621841,2.99170912,2.493978864
Netherlands,1997,0.7194195354,0.7933571896,0.6570322142
United States of America,1997,3.686745433,3.85827252,3.530387284
Canada,1998,2.586418925,2.784410989,2.3831667
China,1998,2.642363348,2.926794934,2.387342298
